Id,Conversa com problema,Oportunidade de melhoria,Anotação
848f7e1e-3002-4c3d-a63d-3b46d29b6a80,Sim,Sim,"O assistente compreende a necessidade do cliente entender porque não consegue acessar o seu seguro e faz o transbordo quando necessário para resolver o problema, mas as informações parecem estar desatualizadas (ex - não aparece no site do seguro a opção de esqueci minha senha, nem de primeiro acesso) e essas informações não aparecem nos artigos (ex - ""Seguro fatura protegida: benefícios""). Além disso, o assistente não considera a possibilidade do seguro contratado já estar vencido"
baf2b00e-6055-4584-95ff-09de2a4bc1d7,Não,Não,O assistente compreende a necessidade do cliente em renegociar seu empréstimo e presta boas informações sobre o assunto
48148620-2f2a-4daa-802e-b05e5503a641,Não,Sim,"O assistente compreende a necessidade do cliente em contestar uma transação e presta boas informações sobre o assunto, esclarecendo que a cobrança veio da contratação de um seguro, mas faz o transbordo sem a solicitação do usuário, poderia solicitar uma confirmação."
2fda5c40-bc67-4ebf-80ed-12c37fcc1452,Não,Sim,"O assistente compreende a necessidade do cliente em saber quanto de sua rescisão será usado para pagar o consignado, mas não responde que, por lei, o limite do desconto é de no máximo 35% da rescisão, algo que o cliente menciona, mas o atendente não entende do que se trata"
bd8cebc9-ae51-40c3-be8a-b7ad32faad18,Não,Não,O assistente compreende a necessidade do cliente em reorganizar o seu empréstimo e presta boas informações. O transbordo é feito assim que solicitado.
93e9d5ca-744c-4447-af86-582fec83b37f,Não,Não,O assistente compreende a necessidade do cliente em saber o prazo de compensação do reembolso e presta boas informações sobre o assunto
e362d010-310f-420f-a879-ccb65c9dcbd6,Não,Não,"O assistente compreende a necessidade do cliente em contestar um Pix após sofrer um golpe, e presta boas informações sobre o assunto"
3a51c7c3-d1c1-45f7-9161-12cc0ed80ed5,Não,Sim,"O assistente compreende a necessidade do cliente em contestar uma compra que não reconhece, mas poderia mencionar que esta cobrança pode ser de taxas sobre uma outra compra realizada anteriormente. O assistente realiza o transbordo apenas quando necessário"
7f13a201-b103-4a11-8c0b-e0e17a38b1e1,Sim,Sim,"O assistente entende a necessidade do cliente em negociar sua dívida, mas oferece informações imprecisas. Ele diz que o Serasa, o Acordo Certo e o Acerto fazem parte do Desenrola, quando na verdade, nem todos fazem. Ele diz que para negociar pelo app ou parceiros, é preciso estar em atraso a mais de 3 meses ou 90 dias, mas poderia ser mais preciso dizendo que o prazo é de mais de 95 dias. Além disso, o assistente não menciona a possibilidade de negociar pelo WhatsApp. O atendente realiza o transbordo quando solicitado. "
58b2a343-5ae3-4abf-ace1-5882c4a675d4,Não,Sim,"O assistente compreende a necessidade do cliente em pedir uma segunda via do cartão e presta boas informações, mas poderia mencionar que, após clicar no cartão azul, é preciso selecionar o cartão físico para achar a opção de emitir uma nova via"
7437d28f-d763-456c-8c57-48d188a8de6e,Não,Não,"O assistente compreende a necessidade do cliente em pedir uma segunda via do cartão e presta boas informações sobre o assunto, realizando o transbordo quando necessário"
6c14b7fe-8249-4e1c-b090-72190bf2eddf,Sim,Não,"O assistente compreende a necessidade do cliente em alterar a data de vencimento e presta boas informações sobre o assunto, mas deixa a entender que alterar a data de vencimento aumenta o prazo entre o fechamento e o vencimento, o que não é verdade"
542e362d-e4e8-4082-b03f-e3b8dc40a145,Não,Não,O assistente compreende a necessidade do cliente em negociar sua dívida e presta boas informações sobre o assunto
1295d1e5-cf86-44a5-b256-acdb3d68db52,Não,Sim,"O assistente compreende a necessidade do cliente em cancelar o Fatura Protegida e presta boas informações sobre o assunto, mas ofereceu ajuda ao cliente e não continuou essa ajuda quando ele confirmou com ""Ok"""
