SId,Conversa com problema,Oportunidade de melhoria,Anotação
7a26573d-2c81-4e1a-adaf-334728e69cc8,Não,Sim,"O assistente compreende que o cliente está com dificuldades para usar seu cartão e presta boas informações sobre o assunto, mas antes de dizer para o cliente tentar desbloquear, poderia perguntar para ele qual é o problema com o cartão (se não passa, se foi danificado, roubado ou perdido) assim o assistente pode ir direto ao ponto com mais certeza de que sua solução resolverá o problema"
a0d7ec12-ccab-4da9-9fa0-dcaf229b238c,Não,Não,"O assistente compreende a necessidade do cliente em obter um comprovante de endereço e presta boas informações sobre o assunto, dizendo que a Neon não pode emitir este tipo de documento"
0c100149-f0c4-41ce-9fd5-9eb864767b74,Não,Não,O assistente compreende a preocupação do cliente em ter passado seus dados bancários para um golpista e presta boas informações sobre o assunto
831fd07c-dfae-4c2c-9b81-aae555cdcc5c,Não,Não,O assistente compreende a necessidade do cliente em ativar seu cartão e presta boas informações sobre o assunto
9278ac10-d76e-484a-9532-6b4db6fbcfb5,Sim,Não,"O assistente entra em contradição, pois no exemplo ""4d44323b-95dd-49fe-8178-913fa049106d"" diz que quando um envio é interrompido e o cartão é destruído, não é possível solicitar um novo, mas nesse caso, oferece essa possibilidade"
2037c2ed-3f1b-4526-9f50-f96c63131795,Não,Sim,"O assistente compreende a necessidade do cliente em quitar sua dívida ativa para cancelar sua conta e presta boas informações sobre o assunto, mas poderia oferecer a informação de que o cancelamento da conta é irreversível"
784eede6-e5a3-4482-83c9-e5612b846b6a,Não,Não,O assistente compreende a necessidade do cliente em saber em quanto tempo seu nome irá sair do Serasa após pagar a dívida e presta boas informações sobre o assunto
9c575bc0-9bd9-423f-a3d9-e56bf258b9ed,Não,Sim,"O assistente compreende a necessidade do cliente em localizar seu cartão virtual e presta boas informações sobre o assunto, mas diz que o cliente PRECISA do cartão virtual para fazer compras online, quando é possível também fazer com o cartão físico"
cb5b53be-2f63-442e-82fa-35c97e604c2d,Não,Não,O assistente responde o usuário de forma adequada
6fd44b1f-26fe-4e74-9100-687c6c873723,Não,Sim,"O assistente compreende a necessidade do cliente em contatar a pessoa que recebeu um pix indevido, e presta boas informações sobre o assunto, mas poderia deixar mais claro que o banco recebedor pode realizar este contato e aconselhar o cliente a verificar os dados antes de fazer um pix"
6a70f016-0bf6-4a45-b7f7-9708a372908b,Não,Sim,"O assistente compreende a necessidade do cliente em visualizar suas faturas, fornecendo essas informações diretamente, mas poderia dizer que o cliente também pode verificar estes valores a qualquer momento no app"
f95b835b-628d-447b-ad1a-8b3dda47b440,Não,Não,"O assistente compreende a necessidade do cliente em refazer uma contestação que foi recusada, prestando boas informações sobre o assunto e realizando o transbordo quando necessário"
b25676ef-48aa-4bd3-8dc0-c9b5576b42f7,Não,Sim,"O assistente compreende a necessidade do cliente em adiantar o pagamento de suas faturas, prestando boas informações sobre o assunto, mas talvez com ""adiantar todas as parcelas"" o cliente se referia ao parcelamento global, e o assistente não identificou essa possibilidade"
11e85065-2053-4652-ba51-7b42940ae73f,Não,Sim,"O assistente compreende o problema do cliente em usar seu cartão virtual e presta boas informações sobre o assunto, mas diz para o cliente dizer que reconhece a compra pelas notificações, quando o mesmo já havia afirmado que não recebeu notificação nenhuma"
e30c455a-0be6-42f7-8b6b-2db09b12f818,Não,Não,"O assistente compreende a dúvida do cliente sobre quando o resgate do seu investimento vai cair, e presta boas informações sobre o assunto"
f9611f3f-86ce-435a-a75f-2915fd38eacf,Não,Sim,"O assistente compreende a necessidade do cliente em verificar as informações da sua conta e presta boas informações sobre o assunto, mas poderia ter consciência de que o usuário está na tela de atendimento e dizer para ele ""sair desta tela"" para acessar a tela inicial"
0198aef6-eb3c-44a6-93d0-3d962cbfc21c,Não,Não,"O assistente compreende a necessidade do cliente em negociar sua dívida, e presta boas informações sobre o assunto"
3f11946d-e427-49ad-8a09-882e1e12368c,Não,Sim,"O assistente compreende a necessidade do cliente em solicitar uma segunda via do cartão, e presta boas informações sobre o assunto, mas após clicar no cartão azul, ainda é preciso selecionar o cartão específico que se deseja visualizar, no caso o físico, e só depois soliciar a segunda via. Seria bom incluir isso no caminho informado"
81e1dff0-c035-4cab-99ba-6fd228e02032,Sim,Sim,"O assistente compreende a dúvida do cliente sobre porque seu empréstimo veio menor do que solicitou, e diz que isso pode ter ocorrido pelo desconto de IOF, seguro e taxa de cadastro, entretanto, o artigo ""O que são os valores na tela “Custos detalhados” do empréstimo?"" diz que esses custos não deveriam ser descontados no valor final, e sim acrescidos nas parcelas do empréstimo. O assistente poderia dizer que o valor que caiu na conta deve ter sido combinado antecipadamente na tela ""custos detalhados"" para tentar entender porque o valor supostamente veio menor do que o solicitado pelo cliente"
eb308872-6250-4494-b83f-41b7a10ff756,Não,Não,"O assistente compreende a necessidade do cliente em falar com um atendente, mas não realiza o transbordo de imediato"
e578317c-aac8-4275-ac48-02795dd3af05,Não,Sim,"O assistente compreende a necessidade do cliente em visualizar os dados do seu cartão e mostra um caminho válido, mas que não é o ideal"
56b734a4-9747-4934-913a-6b30d15d8424,Não,Não,"O assistente compreende a necessidade do cliente em entender porque a entrega do seu cartão está falhando, presta boas informações sobre o assunto e realiza o transbordo quando necessário"
9c7bac1a-40cd-40d1-a91d-b087ff34cb33,Não,Não,O assistente compreende a necessidade do cliente em entender porque seu investimento parou de render e presta boas informações sobre o assunto
3a70bfa4-984a-409e-80b9-ae0377ad7e66,Não,Não,"O assistente compreende a necessidade do cliente em bloquear acessos indevidos a sua conta e contestar uma compra que não reconhece, prestando boas informações sobre o assunto e realizando o transbordo quando necessário, mas poderia incluir no passo a passo de contestação o anexo de evidências e o bloqueio dos cartões, por exemplo"
94c553eb-7f4f-4686-bf3d-a43595e00c4a,Não,Sim,"O assistente compreende a necessidade do cliente em entender porque um valor entrou e saiu de sua conta, e presta boas informações sobre o assunto, mas poderia investigar melhor o contexto para descobrir de onde este valor veio e se ele foi devolvido via transferência ou via MED para definir uma possível causa, pois pode ter sido tanto um acesso indevido quanto o acionamento do mecanismo de devolução, e nestes casos o procedimento muda"
709a644a-fbda-4bf5-aca6-2931ed8dfb78,Não,Não,"O assistente compreende a necessidade do cliente em visualizar as parcelas de sua fatura e presta boas informações sobre o assunto, mas não compreende que a notificação de vencimento que ele recebeu poderia ser da fatura, e não de um boleto suspeito"
35932497-8a4c-42c1-bb86-37d45ce2cbe5,Sim,Não,"O assistente não compreende que o cliente cumpriu todas as etapas da missão e mesmo assim, a mesma não foi concluída, dizendo que ele deveria ter cumprido todas as etapas quando poderia ter dito que, mesmo que todas as etapas sejam cumpridas, ainda há uma análise de crédito que pode cancelar a missão. O transbordo é realizado desnecessariamente em seguida"
9e6cd79e-e8b4-4464-8040-153d5edcba18,Não,Sim,"O assistente compreende a situação difícil do cliente em entender porque seu limite não está liberado sendo que o pagamento da fatura já havia sido realizado, e faz o transbordo quando necessário, mas poderia ter falado sobre os prazos de compensação de pagamento"
52352535-f7d0-48df-8aa4-739862e4f4d1,Não,Não,"O assistente compreende a necessidade do cliente em negociar sua dívida pelo desenrola brasil, e presta boas informações sobre o assunto"
c5166ba9-acaf-420b-a5a3-14074d1547a8,Não,Não,"O assistente compreende a necessidade do cliente em confirmar o cancelamento do seu seguro, e presta boas informações sobre o assunto"
70897672-0a0a-4925-b9bc-9c1fbc7dee38,Não,Sim,"O assistente compreende a necessidade do cliente em entender porque seu cartão não está passando na maquininha, presta boas informações sobre o assunto e foi capaz de identificar o problema, mas esquece de considerar a possibilidade de um possível defeito no cartão, além de pedir mais de uma vez para que o cliente verifique o tem saldo/limite disponível (no final, a insistência foi válida, pois era este mesmo o problema, mas não se aplica para todos os casos)"
f523b4a8-dfc7-4f82-8524-15195c1bab17,Não,Não,O assistente compreende a necessidade do cliente em alterar sua senha de 4 dígitos e presta boas informações sobre o assunto
243618d4-5c65-4e29-988a-823b0d745f84,Não,Não,"O assistente compreende a necessidade do cliente em receber o estorno da sua fatura paga em duplicidade, e presta boas informações sobre o assunto"
