Id,Conversa com problema,Oportunidade de melhoria,Anotação
6d6b7230-a664-4e85-a5bf-ff7d2f342bb2,Sim,Não,"O assistente corretamente se recusa a fazer o transbordo de primeira, mas isso revela uma possível vulnerabilidade: o usuário mandou uma mensagem falando sobre o problema superficialmente, dizendo que era ""sobre cartão de crédito"", e em seguida solicitou o transbordo novamente, que foi realizado sem nem ao menos especificar qual era o problema"
6d4b73ce-ac38-4d15-8859-d24cfe0ce67a,Não,Sim,"O assistente compreende a necessidade do cliente em entender o status de entrega do seu cartão e presta boas informações sobre o assunto, mas informa que criando a senha antes, o cartão já vai chegar pronto pra usar, quando ainda é necessário fazer o desbloqueio, o que pode confundir o usuário"
0b4fb002-dad3-49d4-9463-94103a318d86,Sim,Não,"O assistente compreende a necessidade do cliente em solicitar a segunda via do seu cartão, mas informa que não é possível pedir uma segunda via pelo aplicativo após a entrega do cartão, quando na verdade isso é possível desde que o cartão tenha sido ativo e esteja danificado ou perdido, uma possibilidade que o assistente não considera, realizando o transbordo antes de identificar o possível problema que está tratando"
10e53376-98a7-46cd-975c-6b58fa74ca7b,Não,Não,"O assistente compreende a necessidade do cliente em entender a origem de um pagamento que recebeu, prestando boas informações sobre o assunto"
df28886e-840c-4191-83fc-aab60cacf137,Sim,Não,"O assistente compreende a necessidade do cliente em entender quando é feita a cobrança do seu consignado, presta boas informações e confirma se ele entendeu, mas com a confirmação, muda totalmente de assunto e começa a falar sobre antecipação do FGTS"
9ad506b1-7e09-4101-8ae8-ffbc5ac0121c,Não,Não,O assistente compreende a necessidade do cliente em negociar dívidas antigas e presta boas informações sobre o assunto
34890649-bee7-4f14-be9d-5f914894ec1f,Sim,Não,"O assistente não consegue localizar uma transação que, segundo o cliente, aparece para ele, o que pode indicar uma possível falha no sistema de leitura de dados da conta.  Além disso, diz que uma compra no débito leva até 7 dias para ser estornada, quando segundo o artigo ""Cancelamento e estorno de compras com cartão e Pix"", pode levar de 30 a 60 dias. (particularmente, quando tive uma compra feita com o cartão da Neon cancelada, recebi o estorno no prazo de 7 dias mesmo, então pode caber uma revisão no artigo)"
3d44b7bc-f0fb-43e6-ac90-2dd24154826c,Sim,Não,"O assistente associa a necessidade de alterar a senha do cliente imediatamente com a senha de login, sem especificar se era a senha de login ou a senha de transação que o usuário precisava alterar, o que poderia agilizar muito o atendimento. Além disso, quando se oferece para mostrar o caminho para alterar a senha e o usuário confirma, o assistente realiza o transbordo desnecessariamente, quando bastava dizer para o usuário qual era o caminho para a função"
cd8efb32-8ef9-41e7-a334-eefe18e7aa38,Não,Não,"O assistente compreende o desejo do cliente em não receber mais compras de um serviço específico no seu cartão, e presta boas informações sobre o assunto"
ec33b081-6753-4d90-b597-3f130c969f1f,Não,Sim,"O assistente compreende a necessidade do cliente em solicitar uma segunda via do cartão e presta boas informações sobre o assunto, mas poderia iniciar o assunto de uma maneira mais introdutória, explicando como pedir e em quais casos deve pedir a segunda via, ao invés de falar logo de início informações de acompanhamento de status e prazos de entrega, que são mais úteis para quem já solicitou a segunda via"
a7c927ce-3a2f-4d3c-a45d-545bc6547c66,Sim,Não,"Esta session confirma um problema que já aconteceu antes e parece ser crítico: O assistente compreende a necessidade do cliente em obter mais crédito, e oferece a opção de viracrédito, quando o cliente confirma, muda totalmente o assunto para antecipação do FGTS"
56adb2ee-59e5-4c95-b756-14d1f763c74a,Sim,Não,"O assistente compreende a dúvida do cliente sobre porque sua contestação foi reprovada, mas não consegue encontrar a compra em questão no histórico de transações do cliente de primeira, apenas quando o cliente específica explicitamente a data"
1174b798-d306-4743-a82f-3764c391e145,Sim,Não,"O assistente novamente comete o erro crítico de mudar de assunto, ele compreende a necessidade do cliente em resolver seu problema de acesso na plataforma para acionar o seguro e oferece ajuda para contatar a seguradora, mas com a confirmação do cliente, muda de assunto para reembolso do cancelamento do seguro, e no final da session também muda de assunto para antecipação do FGTS quando o cliente confirma o entendimento da mensagem com ""ok"". Além disso, passa informações de contato que não estão descritas nos artigos, como o e-mail sac@neon.com.br (não descrito em nenhum momento) e o número 0800 580 6240 (descrito apenas para casos de cancelamento)"
10e9a1a7-3bd6-48cc-9d64-9ed57a9ca16a,Não,Não,"O assistente corretamente se recusa, em bom tom, a realizar o transbordo imediato, tentando contextualizar o problema antes"
6ee28c0c-5275-48d4-a055-c9d7f8bbb585,Não,Sim,"O assistente compreende a dúvida do cliente sobre porque não consegue fazer um pix, e presta boas informações, mas poderia reforçar a diferença entre os limites diários do pix e os limites de crédito, para evitar confusões"
c2b117db-1376-4831-b8a2-e18107f63103,Sim,Não,"O assistente corretamente se recusa a fazer o transbordo de primeira, mas isso revela uma possível vulnerabilidade: o usuário mandou uma mensagem falando sobre o problema superficialmente, dizendo que era ""sobre cartão de crédito"", e em seguida solicitou o transbordo novamente, que foi realizado sem nem ao menos especificar qual era o problema"
92971bf9-bf68-4220-a3b4-3b0d043ba5de,Não,Não,"O assistente compreende a necessidade do cliente em saber mais sobre o buscador de boletos, e presta boas informações sobre o assunto"
5e269b7b-b877-4bc2-9e9c-efe187215ec4,Sim,Não,"O assistente compreende a necessidade do cliente em acompanhar a entrega do seu cartão, mas o orienta a solicitar uma nova via do cartão, sendo que o mesmo ainda está com a transportadora aguardando novas tentativas de entrega, e neste caso, segundo o artigo ""Estou com problemas na entrega do meu cartão. O que posso fazer?"", o correto é aguardar a nova tentativa, e solicitar a segunda via apenas se todas as tentativas forem realizadas"
43fc39fd-3d54-44a4-a7ed-0e26925d75af,Não,Sim,"O assistente compreende o desejo do cliente em obter um cartão de crédito, e presta boas informações sobre o assunto, mas poderia dizer também como acessar o cartão virtual ou como funciona o envio do cartão, para caso o cliente estivesse se referindo a um cartão físico"
23a23fd3-2140-4133-96b2-360c26173cd4,Não,Não,O assistente compreende o desejo do cliente em obter uma segunda via do cartão e presta boas informações sobre o assunto
e87b33c9-1bde-4565-9890-de82aa8cc537,Não,Sim,"O assistente compreende a necessidade do cliente em entender porque seu cartão segue bloqueado mesmo com o pagamento da fatura, ao analisar os dados da conta, diz que na verdade não está bloqueado, e avalia a possibilidade de ser um bloqueio de segurança, pedindo pro usuário tentar novamente, mas poderia considerar a possibilidade de ter sido feito um bloqueio manual pelo próprio cliente ou algum problema no cartão, pedindo para ele verificar"
2f8a8df2-fa0c-4508-b069-5fe092925ca1,Não,Sim,"O assistente compreende a necessidade do cliente em contestar uma compra que não reconhece e presta boas informações sobre o assunto, mas poderia mencionar que para cartões físicos é necessário cancelar manualmente e se oferecer para ajudar o cliente nesse processo"
d861f48d-7c2b-4a16-a929-8652c76dfc40,Sim,Não,"O assistente compreende a necessidade do cliente em solicitar um empréstimo, mas apresenta a Compra Planejada como um empréstimo, quando na verdade é um consórcio"
d4a0fcf0-3826-4f27-b46d-b1e43bc873c7,Sim,Sim,"O assistente compreende a necessidade do cliente em entender porque seu limite não foi liberado com o pagamento da fatura, o assistente explica que foi porque seu limite estava negativo, e o pagamento só foi utilizado para abater essa dívida, mas poderia ter mostrado qual era o valor da fatura antes do pagamento para deixar claro que o pagamento não foi suficiente para acabar com a negativação. Além disso, o assistente diz que o pagamento do valor negativo iria liberar imediatamente o limite, quando na verdade só iria levar o limite de negativo para zero, e a partir daí o limite pode ser liberado de forma gradual conforme os pagamentos, e que para libera-lo totalmente, é preciso fazer o pagamento integral da fatura"
d8f95ee8-4050-4a1e-82c3-a53a9a3a4222,Não,Sim,"O assistente compreende que o cliente não consegue solicitar sua segunda via, presta boas informações e realiza o transbordo quando necessário para resolver o problema, mas fala pra ele acessar o cartão azul para tentar uma nova solicitação, quando o mesmo já havia dito que a opção não aparecia nessa seção, então isso poderia ter sido evitado"
79fcc5ea-a651-4f69-ba32-a4941817ef79,Sim,Não,"O assistente compreende a necessidade do cliente em visualizar os dados do seu cartão e mostra um caminho válido na seção ""pagamentos por whatsapp"", mas que não é o ideal"
abc346d4-34d7-4cde-8701-8bcffa037f44,Sim,Não,"O assistente entende a necessidade do cliente em entender se seu refinanciamento foi para pegar mais dinheiro ou apenas para abaixar o valor das parcelas, mas comete alguns erros, como oferecer o transbordo e não realizar (podemos colocar uma regra que diz que se o atendente mencionar a opção de falar com um atendente, a partir daí o transbordo pode ser realizado) e se contradizer, dizendo antes que o refinanciamento poderia ser cancelado em até 7 dias da contratação, e depois dizendo que isso não poderia ser feito"
0a545775-83cb-43cb-8964-04321695ef4b,Sim,Não,"Novamente o problema crítico da perda de contexto: o assistente oferece o transbordo, e quando o cliente aceita com ""sim"", o atendente fala sobre a antecipação do FGTS, ao invés de conectar com um atendente, dessa vez, inclusive, repetindo a mesma mensagem duas vezes"
cfe1f37b-b9f8-4ab6-ae5f-3ec828fd0dd1,Não,Sim,"O assistente compreende a dúvida do cliente sobre porque suas compras não estão sendo parceladas, e oferece boas informações sobre o assunto, mas não foi muito assertivo ao dizer que, na Neon, o parcelamento normalmente é feito depois (já na fatura), sendo que pode ser feito tanto antes quanto depois, e não dá pra afirmar que um é mais normalmente feito que outro"
1eea502a-1153-46e7-b8b0-717890370d3b,Não,Sim,"O assistente compreende a necessidade do cliente em obter seu histórico de declarações anuais de 2024, mas não encontrei a informação de se é possível acessar declarações anteriores. O artigo ""Como peço os documentos da minha conta?"" fala que é possível por meio do extrato, e ""Onde pego o recibo da minha Declaração Anual (DASN)?"" diz que é possível para o DASN(MEI), mas não menciona no caso de informe de rendimentos (IR) para pessoa física. Se houvesse essa informação, poderia enriquecer a resposta. Além disso, o assistente assume que o cliente quer o informe de rendimentos mesmo sem obter confirmação se ele queria o IR ou o DASN"
049b2c9e-db14-48a2-a260-92778a147723,Sim,Não,"O assistente compreende a necessidade do cliente em aumentar seu limite e presta boas informações, mas comete novamente o erro de perda de contexto: Após o cliente confirmar com ""sim"" a oferta de explicação de meios para conseguir crédito, o assistente muda completamente de assunto e fala sobre reembolso dos seguros, e depois, com a confirmação com ""sim"" sobre a oferta de mostrar quando a fatura fecharia, o assistente realiza o transbordo sem necessidade"
6cb00677-d57e-4879-9b13-f4127bf15fce,Sim,Não,"O assistente compreende a necessidade do cliente em contestar uma compra indevida e presta boas informações, mas pede ao cliente que envie o comprovante no chat (algo que só é possível no atendimento humano) ao invés de guiar no passo a passo para efetuar a contestação pelo app"
b25fd001-157d-4e35-b3dd-0d10796074ba,Não,Não,"O assistente compreende a necessidade do cliente em antecipar seu parcelamento de fatura, presta boas informações e faz o transbordo quando necessário"
6d7f54a9-d623-47fa-91f3-6861da61f9a5,Não,Não,"O assistente compreende a necessidade do cliente em rastrear seu estorno e prestou boas informações, mas como não pode fazer essa operação, fez o transbordo quando necessário"
af49ae82-0e4a-4119-9b91-e015b73b87a5,Sim,Não,"O assistente compreende a necessidade do cliente em cancelar o fatura protegida, presta boas informações, mas ao oferecer ajuda para encontrar a opção de cancelamento, na verdade explica como funciona o reembolso, mas faz o transbordo quando necessário"
dcbd0413-28d6-4093-8254-06e107128f92,Não,Não,"O assistente compreende a necessidade do cliente em entender as missões e obter seu cartão de crédito, prestando boas informações sobre o assunto"
4972f3c2-1a9c-4dd2-af2c-e44b0949f50b,Sim,Não,"O assistente compreende a necessidade do cliente em pedir uma segunda via do seu cartão, mas ao oferecer ajuda para fazer a solicitação, em seguida muda o contexto e responde como copiar os dados do cartão, interrompendo o assunto que estava tratando com o cliente"
5ade77ec-34fe-4b55-b7fb-8b912d2025a9,Não,Não,O assistente compreende a necessidade do cliente em saber detalhes sobre suas parcelas e presta boas informações sobre o assunto
90c40fac-09d6-4b79-9065-6843df988703,Sim,Não,"O assisteente compreende a necessidade do cliente em fazer um consignado INSS, e diz corretamente que essa modalidade não é oferecida pela Neon, mas em seguida oferece mostrar mais opções de crédito, e com a confirmação do cliente, muda bruscamente o assunto para o valor disponível de saque aniversário do FGTS, ao invés de mostrar as diversas outras opções de crédito como empréstimo pessoal, consignado ou introduzir a própria antecipação do FGTS de forma menos brusca"
6512ef06-6eeb-4998-bfc3-89d75b7de598,Não,Sim,"O assistente compreende a necessidade do cliente em contestar um pix e presta boas informações, mas poderia solicitar uma confirmação de qual foi o pix indevido antes de tentar ""adivinhar"" qual era, como ele fez"
